,fitness,evaluations,solution,folder
12,0.998,"[0.998, 0.992, 0.992, 0.992, 0.991, 1.0, 1.0, 0.999, 0.997, 0.995]","[0, 0, 6, 7, 1, 0, 9, 1, 3, 7, 3, 0, 0, 1]",GS - 22-10-20-15-41-59
19,0.999,"[0.999, 1.0, 0.995, 0.997, 0.947, 0.962, 0.955, 0.95, 0.998, 0.997]","[0, 0, 7, 4, 3, 0, 3, 6, 5, 6, 2, 1, 1, 3]",GS - 22-10-20-17-07-53
5,0.999,"[0.996, 1.0, 1.0, 1.0, 0.999, 0.992, 0.992, 1.0, 1.0, 0.998]","[0, 0, 3, 3, 3, 0, 5, 0, 9, 5, 3, 2, 1, 9]",GS - 22-10-20-18-33-40
7,0.998,"[0.995, 1.0, 0.989, 1.0, 1.0, 0.99, 0.998, 0.998, 0.994, 0.999]","[0, 0, 4, 9, 5, 0, 9, 1, 7, 10, 3, 0, 1, 8]",GS - 22-10-20-19-57-13
10,0.984,"[0.981, 0.998, 0.994, 0.998, 0.999, 0.995, 0.998, 0.992, 0.99, 0.992]","[0, 0, 7, 2, 8, 0, 8, 1, 4, 4, 2, 0, 1, 2]",GS - 22-10-20-21-20-45
6,0.995,"[0.995, 0.997, 0.999, 0.998, 0.994, 0.996, 0.993, 0.994, 0.999, 0.997]","[0, 0, 6, 4, 9, 0, 2, 10, 7, 10, 3, 0, 2, 9]",GS - 22-10-20-22-46-07
0,0.996,"[1.0, 1.0, 1.0, 0.993, 0.994, 0.996, 0.999, 1.0, 0.996, 0.995]","[0, 0, 7, 7, 5, 0, 4, 2, 8, 8, 2, 0, 0, 7]",GS - 22-10-21-00-13-09
15,0.986,"[0.996, 1.0, 1.0, 1.0, 1.0, 0.993, 0.996, 0.992, 0.993, 0.984]","[0, 0, 5, 5, 2, 0, 5, 1, 2, 5, 0, 2, 0, 0]",GS - 22-10-21-01-38-58
18,1.0,"[0.992, 0.974, 0.994, 0.99, 0.993, 0.996, 0.994, 0.994, 0.994, 0.998]","[0, 0, 6, 5, 3, 0, 4, 8, 7, 10, 3, 0, 1, 8]",GS - 22-10-21-03-01-15
1,1.0,"[0.991, 0.994, 0.997, 0.999, 1.0, 1.0, 1.0, 1.0, 0.999, 1.0]","[0, 0, 9, 8, 1, 0, 8, 5, 9, 5, 0, 2, 0, 3]",GS - 22-10-21-04-29-41
11,0.996,"[1.0, 0.993, 0.998, 1.0, 0.978, 1.0, 0.992, 0.995, 0.994, 0.993]","[0, 0, 9, 2, 1, 0, 7, 2, 3, 7, 0, 2, 1, 6]",GS - 22-11-02-19-37-53
4,0.995,"[0.998, 0.997, 0.999, 0.988, 0.997, 0.99, 0.993, 0.995, 0.995, 0.994]","[0, 0, 9, 4, 5, 0, 3, 3, 6, 4, 3, 0, 2, 6]",GS - 22-11-03-00-13-33
3,0.997,"[0.98, 0.988, 0.998, 0.998, 1.0, 1.0, 1.0, 0.998, 0.993, 0.997]","[0, 0, 7, 1, 7, 0, 9, 10, 5, 8, 2, 1, 1, 1]",GS - 22-11-03-04-48-18
14,0.998,"[0.997, 1.0, 0.992, 0.998, 0.985, 0.985, 0.999, 1.0, 0.989, 0.999]","[0, 0, 4, 3, 9, 0, 4, 10, 7, 10, 2, 1, 2, 7]",GS - 22-11-03-09-16-02
8,0.989,"[0.999, 0.962, 1.0, 0.998, 0.998, 0.997, 0.998, 0.999, 0.999, 0.994]","[0, 0, 4, 4, 4, 0, 4, 9, 5, 8, 1, 0, 1, 9]",GS - 22-11-03-13-43-09
13,0.999,"[0.967, 0.999, 1.0, 0.987, 0.996, 0.996, 1.0, 1.0, 1.0, 1.0]","[0, 0, 8, 6, 2, 0, 3, 1, 9, 7, 2, 1, 0, 4]",GS - 22-11-03-18-13-13
2,1.0,"[0.985, 0.996, 1.0, 0.949, 0.992, 1.0, 1.0, 1.0, 1.0, 0.998]","[0, 0, 3, 2, 1, 0, 9, 1, 5, 10, 1, 1, 1, 9]",GS - 22-11-03-22-44-40
16,1.0,"[1.0, 0.991, 1.0, 1.0, 1.0, 1.0, 0.999, 0.996, 1.0, 1.0]","[0, 0, 3, 4, 2, 0, 9, 10, 7, 10, 3, 2, 3, 5]",GS - 22-11-04-03-22-22
9,1.0,"[0.998, 0.974, 0.98, 0.981, 1.0, 1.0, 0.999, 0.999, 0.996, 0.997]","[0, 0, 6, 1, 5, 0, 6, 4, 8, 4, 2, 0, 2, 1]",GS - 22-11-04-07-41-07
17,1.0,"[0.973, 0.983, 0.999, 0.997, 1.0, 0.999, 0.999, 0.999, 0.997, 1.0]","[0, 0, 5, 7, 2, 0, 7, 8, 6, 10, 0, 1, 2, 8]",GS - 22-11-04-12-07-50
