,fitness,evaluations,solution,folder
10,0.996,"[0.992, 0.997, 0.998, 1.0, 0.989, 1.0, 1.0, 0.998, 0.991, 0.999]","[0, 0, 8, 8, 9, 0, 4, 1, 7, 10, 1, 0, 0, 0]",GS - 22-10-14-14-48-15
4,0.999,"[0.999, 0.938, 0.941, 1.0, 0.995, 0.999, 1.0, 0.998, 1.0, 1.0]","[0, 0, 8, 1, 1, 0, 9, 0, 6, 10, 0, 0, 1, 2]",GS - 22-10-19-09-44-54
11,1.0,"[0.992, 0.99, 0.999, 0.993, 0.999, 0.996, 0.99, 0.994, 0.997, 1.0]","[0, 0, 8, 3, 1, 0, 4, 8, 7, 7, 3, 1, 3, 7]",GS - 22-10-19-09-55-58
2,0.996,"[0.997, 0.987, 0.999, 0.996, 1.0, 1.0, 1.0, 0.999, 1.0, 0.999]","[0, 0, 3, 4, 5, 0, 7, 6, 5, 8, 1, 2, 0, 3]",GS - 22-10-19-10-09-05
13,1.0,"[0.987, 1.0, 0.996, 1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.999]","[0, 0, 5, 7, 9, 0, 5, 8, 6, 5, 1, 2, 3, 0]",GS - 22-10-19-10-21-02
1,0.987,"[0.992, 0.997, 0.999, 0.998, 0.998, 0.997, 0.996, 0.998, 0.99, 0.988]","[0, 0, 5, 4, 2, 0, 8, 7, 7, 9, 1, 0, 0, 2]",GS - 22-10-19-10-33-26
6,0.999,"[0.95, 1.0, 0.998, 0.996, 1.0, 0.997, 0.994, 0.996, 0.995, 0.998]","[0, 0, 9, 7, 1, 0, 9, 7, 8, 6, 3, 0, 0, 7]",GS - 22-10-19-10-50-47
3,0.998,"[0.984, 0.997, 0.998, 1.0, 1.0, 0.999, 0.996, 1.0, 1.0, 0.998]","[0, 0, 7, 2, 4, 0, 6, 7, 8, 8, 0, 0, 2, 4]",GS - 22-10-19-11-03-35
16,0.995,"[0.913, 0.993, 0.989, 0.995, 0.992, 0.999, 0.999, 0.995, 0.991, 0.987]","[0, 0, 7, 6, 4, 0, 8, 7, 5, 4, 3, 0, 1, 3]",GS - 22-10-19-11-18-41
9,0.999,"[0.992, 0.974, 0.99, 0.998, 0.996, 1.0, 0.998, 0.998, 0.998, 0.998]","[0, 0, 5, 3, 1, 0, 5, 8, 6, 7, 1, 0, 1, 5]",GS - 22-10-19-11-31-06
15,0.998,"[0.998, 0.998, 0.998, 1.0, 0.992, 0.998, 0.999, 0.998, 0.999, 0.996]","[0, 0, 7, 3, 1, 0, 8, 1, 3, 2, 1, 0, 1, 7]",GS - 22-10-19-11-52-09
14,0.999,"[0.998, 0.999, 1.0, 0.999, 0.999, 0.993, 0.993, 0.999, 0.995, 1.0]","[0, 0, 6, 6, 1, 0, 7, 4, 6, 10, 0, 1, 0, 7]",GS - 22-11-02-17-06-45
19,1.0,"[0.994, 0.998, 0.998, 0.994, 1.0, 1.0, 0.999, 1.0, 1.0, 1.0]","[0, 0, 7, 7, 1, 0, 7, 2, 6, 7, 3, 0, 1, 6]",GS - 22-11-02-21-34-16
12,0.999,"[0.998, 1.0, 0.998, 1.0, 0.996, 0.994, 0.998, 0.998, 0.999, 1.0]","[0, 0, 4, 5, 7, 0, 7, 2, 7, 10, 0, 0, 1, 1]",GS - 22-11-03-02-11-20
17,1.0,"[1.0, 1.0, 1.0, 0.994, 0.972, 0.975, 0.977, 0.97, 0.998, 0.999]","[0, 0, 5, 3, 3, 0, 9, 2, 9, 10, 2, 0, 3, 2]",GS - 22-11-03-06-46-13
7,0.995,"[0.998, 0.989, 1.0, 0.997, 0.993, 0.995, 0.993, 0.996, 0.995, 0.992]","[0, 0, 6, 9, 9, 0, 9, 6, 5, 10, 0, 0, 0, 0]",GS - 22-11-03-11-17-36
5,0.992,"[0.99, 0.997, 0.997, 1.0, 1.0, 1.0, 0.995, 0.995, 0.995, 1.0]","[0, 0, 7, 4, 5, 0, 8, 6, 9, 9, 2, 0, 1, 9]",GS - 22-11-03-15-40-29
8,0.99,"[0.999, 1.0, 1.0, 0.988, 0.999, 0.996, 0.996, 0.999, 0.986, 0.989]","[0, 0, 4, 8, 7, 0, 5, 2, 3, 10, 2, 0, 3, 3]",GS - 22-11-03-20-09-58
18,0.997,"[0.989, 0.985, 0.968, 0.975, 1.0, 1.0, 0.999, 0.999, 0.997, 0.999]","[0, 0, 7, 3, 4, 0, 8, 0, 8, 7, 3, 1, 0, 1]",GS - 22-11-04-00-44-26
0,0.999,"[0.976, 0.999, 0.989, 0.985, 0.993, 0.98, 0.993, 0.998, 0.997, 1.0]","[0, 0, 8, 4, 1, 0, 3, 3, 4, 6, 0, 0, 3, 1]",GS - 22-11-04-05-17-03
