,fitness,evaluations,solution,folder
8,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 2, 0, 9, 0, 7, 5, 1, 0, 2, 1]",GS - 22-10-18-11-12-11
1,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 5, 9, 4, 0, 5, 9, 9, 8, 1, 0, 1, 3]",GS - 22-10-20-08-02-29
11,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 5, 6, 2, 0, 7, 3, 4, 5, 3, 2, 1, 1]",GS - 22-10-20-09-40-20
15,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 3, 1, 0, 4, 0, 4, 8, 2, 0, 0, 0]",GS - 22-10-20-10-43-47
6,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 6, 0, 0, 0, 0, 7, 4, 6, 1, 0, 1, 2]",GS - 22-10-20-11-43-05
7,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 5, 0, 3, 0, 0, 6, 8, 9, 3, 2, 3, 5]",GS - 22-10-20-13-21-25
0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 6, 6, 2, 0, 9, 2, 8, 3, 2, 1, 1, 2]",GS - 22-10-20-15-08-35
4,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 9, 9, 0, 2, 4, 3, 8, 0, 1, 3, 6]",GS - 22-10-20-16-07-19
2,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 2, 9, 0, 5, 7, 4, 3, 3, 2, 1, 7]",GS - 22-10-20-17-47-43
13,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 8, 4, 8, 0, 0, 9, 1, 1, 3, 0, 0, 6]",GS - 22-10-20-19-48-10
14,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 9, 0, 1, 0, 5, 10, 3, 2, 3, 0, 2, 6]",GS - 22-10-20-22-07-42
10,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 2, 6, 5, 0, 9, 10, 6, 0, 0, 0, 3, 0]",GS - 22-11-02-18-32-15
17,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 8, 4, 0, 0, 3, 4, 4, 6, 0, 2, 3, 3]",GS - 22-11-02-23-03-55
18,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 6, 3, 0, 7, 2, 1, 0, 0, 2, 2, 3]",GS - 22-11-03-03-43-37
12,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 2, 4, 2, 0, 5, 8, 2, 7, 0, 0, 3, 3]",GS - 22-11-03-08-18-59
5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 8, 1, 7, 0, 6, 4, 7, 7, 3, 1, 3, 4]",GS - 22-11-03-12-43-24
3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 4, 1, 1, 0, 9, 3, 2, 6, 1, 1, 3, 4]",GS - 22-11-03-17-12-37
16,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 3, 5, 5, 0, 4, 8, 0, 8, 0, 0, 1, 5]",GS - 22-11-04-02-13-37
19,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 4, 0, 8, 2, 0, 6, 2, 0, 1, 5]",GS - 22-11-04-06-44-17
9,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 2, 2, 0, 0, 8, 5, 9, 9, 3, 2, 2, 6]",GS - 22-11-04-11-15-14
