,fitness,evaluations,solution,folder
3,0.998,"[0.988, 0.996, 1.0, 0.999, 0.994, 0.994, 0.998, 0.998, 0.999, 0.998]","[0, 0, 8, 8, 3, 0, 9, 5, 8, 1, 3, 1, 0, 1]",GS - 22-10-20-15-54-40
18,0.999,"[0.997, 0.995, 0.998, 0.991, 0.999, 0.999, 0.999, 0.998, 0.999, 0.999]","[0, 0, 6, 0, 1, 0, 6, 6, 8, 5, 2, 1, 1, 5]",GS - 22-10-20-17-20-28
13,0.997,"[0.992, 1.0, 0.999, 1.0, 1.0, 1.0, 0.997, 0.996, 0.998, 1.0]","[0, 0, 7, 0, 1, 0, 7, 6, 6, 4, 3, 0, 0, 0]",GS - 22-10-20-18-46-11
14,1.0,"[1.0, 0.994, 0.999, 0.973, 0.999, 0.998, 0.996, 0.999, 0.999, 1.0]","[0, 0, 6, 5, 1, 0, 5, 3, 9, 7, 3, 1, 0, 2]",GS - 22-10-20-20-07-58
17,0.988,"[0.993, 1.0, 0.999, 1.0, 1.0, 1.0, 1.0, 0.996, 0.991, 0.992]","[0, 0, 3, 2, 8, 0, 5, 8, 9, 4, 3, 0, 0, 2]",GS - 22-10-20-21-31-49
8,0.994,"[0.962, 0.994, 1.0, 0.996, 0.992, 0.991, 0.997, 0.996, 0.999, 0.989]","[0, 0, 5, 3, 2, 0, 4, 10, 8, 8, 3, 0, 0, 0]",GS - 22-10-20-22-57-57
2,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999, 1.0, 1.0, 1.0]","[0, 0, 6, 6, 1, 0, 5, 9, 8, 2, 3, 2, 0, 1]",GS - 22-10-21-00-25-51
16,0.996,"[0.95, 0.995, 1.0, 0.982, 0.988, 0.986, 1.0, 0.999, 1.0, 0.995]","[0, 0, 0, 6, 3, 0, 8, 5, 9, 10, 0, 0, 0, 3]",GS - 22-10-21-01-49-34
5,1.0,"[0.999, 0.996, 0.994, 0.995, 0.992, 1.0, 0.984, 0.99, 0.998, 1.0]","[0, 0, 7, 4, 1, 0, 2, 6, 9, 10, 3, 2, 1, 5]",GS - 22-10-21-03-14-21
0,0.999,"[0.939, 0.999, 0.999, 1.0, 1.0, 0.999, 0.999, 1.0, 1.0, 0.999]","[0, 0, 9, 8, 1, 0, 8, 7, 8, 4, 0, 0, 1, 5]",GS - 22-10-21-04-40-28
1,1.0,"[0.97, 0.956, 0.994, 0.991, 0.997, 0.996, 0.997, 0.999, 0.998, 0.998]","[0, 0, 4, 6, 1, 0, 9, 4, 8, 10, 0, 1, 0, 1]",GS - 22-11-02-19-48-26
11,1.0,"[0.997, 1.0, 0.879, 0.993, 0.994, 0.999, 0.997, 0.999, 0.999, 0.998]","[0, 0, 4, 4, 1, 0, 2, 8, 8, 5, 3, 1, 3, 3]",GS - 22-11-03-00-25-28
10,0.999,"[0.999, 0.999, 0.999, 0.999, 1.0, 1.0, 1.0, 0.999, 0.997, 1.0]","[0, 0, 2, 2, 1, 0, 8, 9, 9, 9, 3, 1, 1, 8]",GS - 22-11-03-05-00-33
9,0.998,"[0.954, 0.97, 0.998, 0.992, 0.986, 0.995, 0.988, 0.974, 0.992, 0.999]","[0, 0, 5, 1, 1, 0, 9, 7, 8, 5, 3, 0, 1, 4]",GS - 22-11-03-09-27-05
7,0.997,"[0.996, 0.974, 0.975, 1.0, 0.998, 0.998, 1.0, 0.998, 0.998, 0.994]","[0, 0, 7, 2, 1, 0, 2, 8, 8, 7, 3, 0, 1, 2]",GS - 22-11-03-13-55-28
19,0.996,"[0.972, 0.964, 0.971, 1.0, 0.981, 0.998, 0.997, 1.0, 1.0, 0.996]","[0, 0, 3, 5, 6, 0, 6, 10, 9, 8, 0, 1, 2, 1]",GS - 22-11-03-18-26-36
6,1.0,"[0.959, 1.0, 1.0, 1.0, 0.991, 0.994, 1.0, 1.0, 1.0, 0.999]","[0, 0, 6, 0, 1, 0, 8, 10, 7, 7, 3, 1, 0, 5]",GS - 22-11-03-22-55-09
12,1.0,"[0.987, 0.962, 0.998, 0.997, 0.996, 0.996, 1.0, 0.998, 1.0, 1.0]","[0, 0, 9, 5, 1, 0, 9, 8, 7, 8, 2, 0, 0, 9]",GS - 22-11-04-03-33-55
4,0.998,"[0.923, 0.918, 0.962, 0.963, 0.997, 1.0, 0.998, 0.998, 0.998, 1.0]","[0, 0, 3, 8, 1, 0, 8, 10, 6, 4, 3, 0, 0, 6]",GS - 22-11-04-07-53-20
15,0.987,"[0.989, 0.99, 0.999, 0.979, 0.996, 0.999, 0.999, 0.998, 0.993, 0.991]","[0, 0, 9, 9, 7, 0, 5, 7, 7, 5, 3, 2, 0, 4]",GS - 22-11-04-12-19-02
