,fitness,evaluations,solution,folder
10,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 7, 6, 7, 0, 2, 1, 6, 4, 1, 2, 3, 4]",GS - 22-10-18-10-51-51
8,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 8, 7, 4, 0, 8, 9, 4, 5, 2, 2, 3, 5]",GS - 22-10-20-02-24-03
1,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 6, 4, 3, 0, 1, 3, 6, 10, 2, 1, 0, 9]",GS - 22-10-20-02-41-26
2,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 3, 5, 9, 0, 8, 8, 1, 2, 1, 0, 0, 2]",GS - 22-10-20-03-19-55
18,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 8, 2, 8, 0, 4, 3, 8, 0, 2, 0, 2, 7]",GS - 22-10-20-04-34-36
0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 5, 5, 6, 0, 9, 1, 7, 8, 1, 1, 0, 9]",GS - 22-10-20-04-54-19
9,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 9, 4, 6, 0, 5, 8, 0, 1, 0, 1, 1, 3]",GS - 22-10-20-05-14-30
3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 5, 2, 0, 3, 4, 9, 0, 3, 0, 1, 1]",GS - 22-10-20-06-08-14
7,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 8, 7, 0, 6, 9, 9, 1, 3, 0, 2, 5]",GS - 22-10-20-06-34-56
15,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 2, 9, 6, 0, 8, 8, 1, 8, 0, 2, 3, 3]",GS - 22-10-20-07-06-28
11,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 9, 4, 9, 0, 5, 1, 1, 9, 1, 1, 0, 2]",GS - 22-10-20-07-30-55
19,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 5, 9, 0, 3, 1, 2, 8, 1, 0, 3, 9]",GS - 22-11-02-22-42-47
6,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 5, 3, 9, 0, 4, 7, 6, 10, 3, 0, 1, 5]",GS - 22-11-03-03-20-23
12,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1, 7, 0, 4, 1, 0, 10, 2, 0, 1, 2]",GS - 22-11-03-08-01-38
14,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 8, 3, 7, 0, 1, 4, 3, 9, 1, 2, 1, 1]",GS - 22-11-03-12-26-58
17,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 9, 7, 9, 0, 9, 0, 4, 8, 2, 1, 1, 4]",GS - 22-11-03-16-51-41
16,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 5, 1, 2, 0, 1, 2, 2, 5, 1, 2, 2, 7]",GS - 22-11-03-21-19-54
4,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 4, 9, 5, 0, 4, 0, 7, 6, 3, 0, 0, 6]",GS - 22-11-04-01-55-23
13,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 3, 1, 0, 0, 3, 4, 3, 2, 2, 1, 4]",GS - 22-11-04-06-26-15
5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 3, 1, 0, 0, 9, 1, 3, 0, 0, 0, 0, 7]",GS - 22-11-04-10-53-37
