,fitness,evaluations,solution,folder
0,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 8, 0, 6, 0, 7, 1, 8, 5, 0, 1, 2, 2]",GS - 22-11-01-16-46-51
10,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 1, 9, 0, 5, 4, 2, 8, 1, 2, 2, 5]",GS - 22-11-01-19-05-33
3,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 8, 4, 0, 4, 8, 6, 3, 0, 1, 2, 0]",GS - 22-11-01-21-28-30
11,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 2, 3, 0, 7, 3, 0, 4, 2, 2, 2, 3]",GS - 22-11-01-23-44-20
17,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 7, 8, 2, 0, 6, 3, 1, 1, 0, 2, 0, 9]",GS - 22-11-02-02-12-39
18,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 4, 5, 3, 0, 3, 4, 0, 5, 1, 0, 3, 1]",GS - 22-11-02-04-37-25
8,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 5, 7, 7, 0, 6, 5, 3, 7, 3, 1, 3, 2]",GS - 22-11-02-06-56-20
9,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 5, 5, 0, 0, 7, 5, 8, 1, 1, 0, 3, 7]",GS - 22-11-02-09-08-53
14,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 9, 6, 0, 0, 8, 5, 2, 7, 3, 2, 3, 8]",GS - 22-11-02-11-39-02
12,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 4, 1, 1, 0, 7, 4, 4, 9, 2, 2, 0, 1]",GS - 22-11-02-14-09-37
4,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 1, 3, 0, 0, 8, 0, 6, 5, 2, 1, 0, 4]",GS - 22-11-02-18-51-52
15,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 8, 4, 2, 0, 3, 5, 9, 8, 2, 0, 3, 7]",GS - 22-11-02-23-39-09
13,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4995, 0.5, 0.5]","[0, 0, 1, 7, 8, 0, 5, 10, 5, 7, 0, 2, 0, 6]",GS - 22-11-03-04-12-31
5,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 5, 5, 6, 0, 7, 3, 4, 9, 0, 1, 2, 1]",GS - 22-11-03-08-38-55
6,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4995, 0.5, 0.5]","[0, 0, 4, 6, 1, 0, 6, 3, 6, 8, 3, 0, 3, 3]",GS - 22-11-03-13-03-06
19,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 4, 3, 7, 0, 4, 6, 4, 4, 0, 1, 2, 1]",GS - 22-11-03-17-37-04
2,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 5, 7, 7, 0, 0, 8, 0, 0, 1, 0, 0, 4]",GS - 22-11-03-21-59-32
7,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 5, 4, 0, 0, 3, 4, 3, 0, 0, 2, 0, 8]",GS - 22-11-04-02-47-57
16,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 8, 9, 9, 0, 0, 3, 8, 8, 2, 2, 0, 3]",GS - 22-11-04-07-05-28
1,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 9, 8, 1, 0, 2, 1, 0, 1, 2, 2, 0, 2]",GS - 22-11-04-11-39-13
